,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
85095,GCF_003833715.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,back wound,,,"Microbe, viral or environmental",True,
85096,GCF_003833745.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85097,GCF_003833765.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,leg wound,,,"Microbe, viral or environmental",True,
85098,GCF_003833785.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,leg ulcer,,,"Microbe, viral or environmental",True,
85101,GCF_003833845.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85104,GCF_003833905.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male urine,,,"Microbe, viral or environmental",True,
85105,GCF_003833925.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85107,GCF_003833955.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,toe wound,,,"Microbe, viral or environmental",True,
85108,GCF_003833965.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient throat,,,"Microbe, viral or environmental",True,
85110,GCF_003834015.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,toe wound,,,"Microbe, viral or environmental",True,
85111,GCF_003834025.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,leg wound,,,"Microbe, viral or environmental",True,
85112,GCF_003834035.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,shin wound,,,"Microbe, viral or environmental",True,
85113,GCF_003834085.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,abdominal wound,,,"Microbe, viral or environmental",True,
85114,GCF_003834105.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,foot ulcer,,,"Microbe, viral or environmental",True,
85115,GCF_003834125.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,chest wound,,,"Microbe, viral or environmental",True,
85118,GCF_003834185.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,leg ulcer,,,"Microbe, viral or environmental",True,
85121,GCF_003834235.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult female sputum,,,"Microbe, viral or environmental",True,
85124,GCF_003834305.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85127,GCF_003834355.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urinary tract infection,,,"Microbe, viral or environmental",True,
85131,GCF_003834445.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85132,GCF_003834465.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male sputum,,,"Microbe, viral or environmental",True,
85133,GCF_003834495.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urinary tract infection,,,"Microbe, viral or environmental",True,
85134,GCF_003834525.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85135,GCF_003834545.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urinary tract infection,,,"Microbe, viral or environmental",True,
85136,GCF_003834565.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85137,GCF_003834585.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85138,GCF_003834605.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85139,GCF_003834615.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85140,GCF_003834645.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85141,GCF_003834655.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85142,GCF_003834665.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male sputum,,,"Microbe, viral or environmental",True,
85143,GCF_003834685.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male sputum,,,"Microbe, viral or environmental",True,
85144,GCF_003834725.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85145,GCF_003834745.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85146,GCF_003834765.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85147,GCF_003834785.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85148,GCF_003834805.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85149,GCF_003834825.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male urine,,,"Microbe, viral or environmental",True,
85150,GCF_003834835.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85151,GCF_003834865.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85152,GCF_003834885.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85153,GCF_003834895.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85154,GCF_003834925.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85155,GCF_003834945.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85156,GCF_003834965.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85157,GCF_003834985.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,infant rectum,,,"Microbe, viral or environmental",True,
85158,GCF_003835005.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85159,GCF_003835015.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85160,GCF_003835045.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urine of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85161,GCF_003835055.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85162,GCF_003835085.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85163,GCF_003835095.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85164,GCF_003835115.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85165,GCF_003835145.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85166,GCF_003835155.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85167,GCF_003835165.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85168,GCF_003835175.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85169,GCF_003835185.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85170,GCF_003835245.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85172,GCF_003835285.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85173,GCF_003835295.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85174,GCF_003835325.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85176,GCF_003835365.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85177,GCF_003835385.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male sputum,,,"Microbe, viral or environmental",True,
85178,GCF_003835395.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,intestinal cancer,,,"Microbe, viral or environmental",True,
85179,GCF_003835405.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male blood,,,"Microbe, viral or environmental",True,
85180,GCF_003835445.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male urine,,,"Microbe, viral or environmental",True,
85181,GCF_003835455.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult female sputum,,,"Microbe, viral or environmental",True,
85182,GCF_003835485.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,adult male urine,,,"Microbe, viral or environmental",True,
85183,GCF_003835495.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urinary tract infection,,,"Microbe, viral or environmental",True,
85184,GCF_003835525.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85185,GCF_003835545.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85186,GCF_003835565.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85187,GCF_003835575.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85188,GCF_003835585.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85189,GCF_003835595.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85190,GCF_003835645.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85191,GCF_003835665.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,"child cystic fibrosis patient, groin",,,"Microbe, viral or environmental",True,
85192,GCF_003835685.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85193,GCF_003835695.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,"child cystic fibrosis patient, cough swab",,,"Microbe, viral or environmental",True,
85194,GCF_003835715.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85195,GCF_003835725.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85196,GCF_003835765.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85197,GCF_003835775.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85198,GCF_003835785.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85199,GCF_003835825.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85200,GCF_003835835.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85201,GCF_003835865.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85202,GCF_003835875.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85203,GCF_003835905.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85204,GCF_003835915.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85205,GCF_003835945.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85206,GCF_003835955.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85207,GCF_003835985.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85208,GCF_003836005.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85209,GCF_003836025.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85210,GCF_003836035.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85211,GCF_003836065.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85212,GCF_003836075.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85213,GCF_003836085.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85214,GCF_003836125.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85216,GCF_003836165.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85218,GCF_003836205.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85221,GCF_003836255.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85222,GCF_003836275.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85223,GCF_003836305.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,burn,,,"Microbe, viral or environmental",True,
85224,GCF_003836315.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,pressure sore,,,"Microbe, viral or environmental",True,
85249,GCF_003836815.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85252,GCF_003836875.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,leg ulcer,,,"Microbe, viral or environmental",True,
85261,GCF_003837055.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85262,GCF_003837085.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85264,GCF_003837125.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,non cystic fibrosis,,,"Microbe, viral or environmental",True,
85265,GCF_003837145.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85266,GCF_003837165.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85267,GCF_003837185.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85269,GCF_003837225.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85274,GCF_003837335.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,burn,,,"Microbe, viral or environmental",True,
85286,GCF_003837585.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,clinical non cystic fibrosis,,,"Microbe, viral or environmental",True,
85288,GCF_003837625.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85289,GCF_003837645.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,surgical bandage,,,"Microbe, viral or environmental",True,
85292,GCF_003837705.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85295,GCF_003837765.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,non cystic fibrosis,,,"Microbe, viral or environmental",True,
85297,GCF_003838365.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,non cystic fibrosis,,,"Microbe, viral or environmental",True,
85298,GCF_003838405.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85299,GCF_003838445.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85300,GCF_003838455.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,non cystic fibrosis,,,"Microbe, viral or environmental",True,
85302,GCF_003838505.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85303,GCF_003838525.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,bronchoalveolar lavage of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85304,GCF_003838535.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
